Labels,Document Files,Section,Issue Number,Title,Contributor
Feature-request,integrated-terminal.md,Editor / Integrated Terminal,84949,WebGL Terminal Renderer,Chang
Feature-request,integrated-terminal.md,Editor / Integrated Terminal,86065,Tunnels view: keyboard shortcuts missing,Chang
Bug,integrated-terminal.md,editor/integrated-terminal,86142,Terminal minimum contrast ratio not met for dom renderer b,Eun
Feature-request,integrated-terminal.md,editor/integrated-terminal,87204,Add a command to add multicursors to all Highlight Occurences,Park
Bug,integrated-terminal.md,editor/integrated-terminal,88529,Terminal.open was called on an element that was not attached to the DOM,Eun
Feature-request,integrated-terminal.md,editor/integrated-terminal,88942,"Integrated terminal not triggering zsh's ""alt"" bindkeys? ",Park
Bug,integrated-terminal.md,editor/integrated-terminal,90903,Terminal's selection is wrong visually after resizing terminal,Eun
Bug,integrated-terminal.md,editor/integrated-terminal,91204,Terminal not scrolling down,Eun
Bug,integrated-terminal.md,editor/integrated-terminal,91233,Follow link doesn't work for local file in terminal ,Eun
Feature-request,integrated-terminal.md,editor/integrated-terminal,92076,Command Palette should return focus to terminal pane,Park
Feature-request,identifiers.md,rust,45628,Some ideas about rust-lang on VSCode,Lee
Feature-request,identifiers.md,rust,49932,Better syntax highlighting for Rust,Lee
Feature-request,identifiers.md,rust,64488,Need a better grammar support for Rust lang,Lee
Bug,identifiers.md,,1467,[python] syntax highlighting breaks on function annotations,Yang
Bug,identifiers.md,,1659,[css] @namespace is not syntax highlighted,Yang
Bug,identifiers.md,,1850,Text highlighted with double click intermittently can't be edited,Yang
Bug,identifiers.md,,2573,[sass] syntax error inside @media using child or sibling selectors,Yang
Bug,identifiers.md,,8390,Syntax highlighting example does not highlight syntax,Yang
Feature-request,html.md,Formatting,2784,[html] Add support for custom tag providers for HTML,Park
Feature-request,html.md,Close tags,7351,[html] Closing markup tags should auto-format/indent,Park
Feature-request,html.md,Close tags,12787,[html] closing </script> tag is not proposed,Park
Feature-request,html.md,Languages / HTML,13039,No div completion on Template literals inside of ES6/TS files,Chang
Feature-request,html.md,Languages / HTML,14920,[html] intellisense in style attributes,Chang
Feature-request,html.md,Languages / HTML,35732,Support import intellisense in <script> tags in .html files,Chang
Feature-request,html.md,Languages / HTML,38087,"[angular] CTRL+click to open link & data-ng-include=""""",Chang
Bug,html.md,Close tags,38391,Closing HTML tag not highlighting in PHP files.,Park
Bug,html.md,Close tags,44324,Auto Close tags in html is so annoying,Park
Bug,html.md,Close tags,45367,closing tag in html,Park
Feature-request,html.md,Close tags,45402,[html] For auto close tag  after finish type the code  quick press 'tab' to move the cursor to the end of the close tag,Park
Feature-request,html.md,Formatting,52729,HTML Tags,Park
Feature-request,html.md,Formatting,53163,HTML snippets being suggested in attributes,Park
Feature-request,html.md,Formatting,53382,Select to Bracket for HTML tags,Park
Feature-request,html.md,Languages / HTML,55213,Support underscore in html attribute names,Chang
Feature-request,html.md,Emmet snippets,57469,"[html] Support SCSS in HTML with <style type=""text/scss"">",Park
Feature-request,html.md,Formatting,57520,[html] fold attributes,Park
Feature-request,html.md,Close tags,57968,use language server for onEnterRules,Park
Feature-request,html.md,Close tags,58315,[html] Automatically delete HTML closing tag when converting to self-closing tag,Park
Feature-request,html.md,Formatting,62976,Web Components support in HTML files,Park
Feature-request,html.md,Formatting,63955,HTML attribute/attribute-value completion documentation,Park
Feature-request,html.md,Languages / HTML,66230,HTML attribute completion description,Chang
Bug,html.md,HTML extensions,68554,Unable to load html/css custom data contribution,Park
Feature-request,html.md,Languages / HTML,69318,Show description for HTML event and aria attributes,Chang
Feature-request,html.md,Emmet snippets,69457,html' snippet is annoying and easily inserts by accident when typing any html,Park
Feature-request,html.md,HTML extensions,70000,Extension contributes settings don't take effect until vscode restarted now,Park
Bug,html.md,Languages / HTML,88072,[html] mirror cursor: pasting a full line will copy the full line twice,Eun
Bug,html.md,Languages / HTML,88509,Emmet: ?plus? modifier,Eun
Feature-request,html.md,Languages / HTML,88838,[html] Mirror cursor doesn't work inside a script tag where type is set to text/html,Chang
Bug,html.md,Languages / HTML,88974,The match tag's highlighting doesn't work properly,Eun
Feature-request,html.md,Languages / HTML,89303,Remove vertical line/cursor after using auto-completion in html file,Chang
Bug,html.md,Languages / HTML,89821,Emmet match tag not work with comments inside tags and Typescript inferred types,Eun
Bug,html.md,,3978,[php] PHP globals hovers on html tag,Yang
Feature-request,extensions.md,nodejs/extensions,91764,"Save in User/settings.json ""Don't ask about .[extension]""",Park
Feature-request,extension-gallery.md,Recommended extensions,13456,Better UX for recommended extensions,Park
Bug,extension-gallery.md,Recommended extensions,46407,Show recommendations gives error message,Park
Bug,extension-gallery.md,Recommended extensions,48367,Recommended Extensions - No suggestions,Park
Feature-request,extension-gallery.md,Recommended extensions,48381,Feature Request: Recommended VSIX Extensions,Park
Feature-request,extension-gallery.md,Workspace recommended extensions,58641,Open settings editor from link with URI handler,Park
Bug,extension-gallery.md,Extensions view commands,61430,Extension Pack dependencies are not shown at all,Park
Bug,extension-gallery.md,Extensions view commands,64044,Disabling members of an extension pack.,Park
Feature-request,extension-gallery.md,Extensions view commands,64671,Extension Pack: Enabled/Disabled list: Show depending extensions as subitems,Park
Bug,extension-gallery.md,editor/extension-gallery,66801,Input variables only work with one configuration in a compound launch config,Eun
Feature-request,extension-gallery.md,Comon Questions,66931,Improve UX for Post extension install/uninstall/enable/disable,Park
Feature-request,extension-gallery.md,Comon Questions,67603,Extension should show up in the installed extensions list as soon as it's installed,Park
Feature-request,extension-gallery.md,Workspace recommended extensions,68527,Explore Extensions Management UX,Park
Feature-request,extension-gallery.md,Workspace recommended extensions,69958,Workspace-level enabled extensions,Park
Bug,extension-gallery.md,Workspace recommended extensions,71622,Link in the editor with the `vscode:` URI scheme is parsed as `file://vscode:...`,Park
Bug,extension-gallery.md,editor/extension-gallery,86192,Extension View's publisher have greyscale rendering ,Eun
Feature-request,extension-gallery.md,editor/extension-gallery,88504,Launch vscode from cli with custom variables for extension,Park
Feature-request,extension-gallery.md,editor/extension-gallery,89243,Expose a dropdown on the sidebar for extensions ,Park
Feature-request,extension-gallery.md,editor/extension-gallery,89470,Search editor: highlights should not hide when search viewlet is hidden,Park
Feature-request,extension-gallery.md,editor/extension-gallery,90911,Adopt codicons for bundled extensions,Park
Feature-request,extension-gallery.md,editor/extension-gallery,90936,"Hard to click ""Quick Fix"" button",Park
Bug,extension-gallery.md,editor/extension-gallery,91453,Search editor doesn't play nice with provided links?,Eun
Bug,extension-gallery,,2023,De-indenting does not update visible workspace position to show cursor ,Yang
Bug,extension-gallery,,3517,Error message for mistype environment variable is confusing ,Yang
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,32346,Emmet snippets -> to the TOP of snippets list,Park
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,33121,Feature request - need more icons in snippets list (for Emmet  custom snippets  etc.),Park
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,40096,Wrap with abbreviation history,Park
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,46006,Remember last abbreviations used in wrap with abbreviation.,Park
Bug,emmet.md,How to expand Emmet abbreviations and snippets,50997,"Emmet for VSCode is ""slow""",Park
Bug,emmet.md,How to expand Emmet abbreviations and snippets,53349,Emmet not working,Park
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,53499,Improve custom emmet snippets editing experience,Park
Feature-request,emmet.md,Disable Emmet,61125,[css] Autocomplete for media queries,Park
Feature-request,emmet.md,Disable Emmet,62333,Add @media and @supports to CSS breadcrumbs,Park
Bug,emmet.md,How to expand Emmet abbreviations and snippets,65921,JSX tag highlighting broken,Park
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,66107,Emmet expansion with React components,Park
Feature-request,emmet.md,How to expand Emmet abbreviations and snippets,69041,Emmet expansion not working for jsx tags inside other jsx tag prop,Park
Feature-request,emmet.md,Disable Emmet,71002,Why doesn't work emmet media query? Specifically @m and @media? ,Park
Feature-request,editingevolved.md,editor/editingevolved,92111,Add Vintage cursorShape From Windows Terminal to editor.cursorStyle ,Park
Bug,editing,,2027,Suggest widget stalls typing,Yang
Bug,editing,,3211,[folding] Fold All has no effect,Yang
Bug,editing,,3261,[folding] Please do not call setHiddenAreas on each model change!,Yang
Bug,editing,,3403,[folding] Fold action should work on all cursors,Yang
Feature-request,deBugging.md,DeBug Actions,7076,Allow to print the editor contents,Park
Feature-request,deBugging.md,DeBug Actions,26863,Add Printing Option,Park
Feature-request,deBugging.md,DeBug Actions,40355,Print Code,Park
Bug,deBugging.md,Launch configurations,59821,Slow code navigation and autocomplete,Park
Bug,deBugging.md,deBug console,60034,Test: multiple deBug consoles?,Lee
Feature-request,deBugging.md,Launch configurations,60057,Allow extensions to provide contributed/detected launch configurations,Park
Feature-request,deBugging.md,Launch configurations,61122,launch.json autocompletion in configurations.compounds.configurations doesn't update until the file is saved,Park
Bug,deBugging.md,deBug console,61273,DeBug Console doesn't update output when hidden,Lee
Feature-request,deBugging.md,DeBug Actions,64403,Print my code in visual studio,Park
Feature-request,deBugging.md,deBug console,64445,Feature request: Aggregated deBug console,Lee
Feature-request,deBugging.md,DeBug Actions,65778,Print request,Park
Bug,deBugging.md,Multi-target deBugging,67791,Call Stack appears broken,Park
Feature-request,deBugging.md,Logpoints,67897,Logpoint intellisense is not complete,Park
Feature-request,deBugging.md,Multi-target deBugging,68276,"Call Stack ""Paused On Breakpoint"" UI not visible for long thread names",Park
Bug,deBugging.md,Multi-target deBugging,68277,Call Stack window doesn't scroll to the active thread when a breakpoint is hit,Park
Bug,deBugging.md,Multi-target deBugging,68474,"DeBugger call stack sometimes is missing frames with no ""Load More Stack Frames"" button",Park
Feature-request,deBugging.md,DeBug Actions,69504,DeBug console evaluation moves editor focus to current (to be executed next) line,Park
Bug,deBugging.md,Multi-target deBugging,69606,Call stack: ensure thread status is displayed when label is long ,Park
Feature-request,deBugging.md,Multi-target deBugging,69752,Do not show single-thread in Call Stack during multi-session deBugging,Park
Feature-request,deBugging.md,Logpoints,71310,Automatic log expressions for Logpoints (Print deBugging),Park
Feature-request,deBugging.md,Multi-target deBugging,71515,Call Stack should be able to render from both sides,Park
Feature-request,deBugging.md,editor/deBugging,87845,Improve task deBugging by giving more context,Park
Feature-request,deBugging.md,editor/deBugging,88230,Allow deBug extensions to provide configurations to display in Select and Start DeBugging,Park
Feature-request,deBugging.md,editor/deBugging,89487,Search editor: should ask user to confirm overwrite when dirty,Park
Bug,deBugging.md,editor/deBugging,90940,DeBug badge count doesn't reset when deBugging ends,Park
Bug,deBugging.md,editor/deBugging,90965,deBug session badge doesn't drop to zero after a deBug session ends,Park
Bug,deBugging.md,editor/deBugging,91478,"Search Editor peek say ""Definitions ()""",Eun
Bug,deBugging.md,editor/deBugging,92384,SearchEditor does not respect `search.useIgnoreFiles`,Eun
Bug,deBugging.md,,2215,DeBug: Breakpoints not center aligned (Windows),Yang
Bug,deBugging.md,,2216,DeBug: Hover shows up empty for complex objects with no children ,Yang
Bug,deBugging.md,,2467,deBug console shouldn't show up on every deBug launch,Yang
Bug,deBugging.md,,3284,Show DeBug Console icon is broken in High Contrast theme,Yang
Bug,deBugging.md,,4188,console.log from deBug session,Yang
Bug,deBugging.md,,35898,DeBug status bar item lacks mouse over feedback,Yang
Bug,deBugging.md,,43648,DeBugging not working in 1.20 ,Yang
Bug,deBugging.md,,91466,DeBug start view: No completion or documentation for valid `view` values,Yang
Bug,deBugging.md,,91471,DeBug start view: rendering order not guaranteed,Yang
Bug,deBugging.md,,91899,Height in deBug console broken,Yang
Bug,deBugging.md,,91924,Bad layout in deBug console with long console message location,Yang
Bug,deBugging.md,,91955,DeBug start view: content order reversed,Yang
Bug,deBugging.md,,91975,Command Palette still shows View: Show DeBug,Yang
Bug,command-line.md,editor/command-line,86392,Open File' missing from img diff,Eun
Feature-request,command-line.md,editor/command-line,91023,[folding] Command to jump to previous/next fold,Park
Feature-request,command-line.md,editor/command-line,91108,Add a command to file an issue (Bug) with relevant info ,Park
Feature-request,command-line.md,editor/command-line,92185,[folding] command that adds folding markers,Park
Bug,codebasics.md,Multiple cursor,3091,Multiple cursors binding,Cho
Feature-request,codebasics.md,Multiple cursor,3130,Allow customization of mouse shortcuts,Cho
Feature-request,codebasics.md,Multiple cursor,5402,Improved column selection (Alt+select),Cho
Feature-request,codebasics.md,Multiple cursor,6472,[folding] Shift-Click to Unfold All Nested,Cho
Bug,codebasics.md,Multiple cursor,6769,multi-cursor editing stops working on ubuntu,Cho
Bug,codebasics.md,Multiple cursor,6879,How to rebind alt+click ??,Cho
Feature-request,codebasics.md,Multiple cursor,6995,Scroll/Reveal when there are multiple cursors,Lee
Feature-request,codebasics.md,Multiple cursor,11809,Move line up/down should support multiple cursors,Lee
Bug,codebasics.md,Multiple cursor,11830,Column mode selection behavior is inconsistent with user expectations,Cho
Feature-request,codebasics.md,Multiple cursor,11956,Modify shortcuts of multiple-line edit,Cho
Feature-request,codebasics.md,multiline search,15727,Better UI for Multiline Search & Replace in a single file,Lee
Feature-request,codebasics.md,Column selection,22235,Make column selection work on the model  not the view model,Park
Feature-request,codebasics.md,Multiple cursor,27916,Alt-selection doesnt work,Cho
Feature-request,codebasics.md,Multiple cursor,28186,Column Selection by Middle Mouse Button (Sublime Style),Cho
Bug,codebasics.md,audo-indent,40235,Closing Brace auto-indent doesn't work properly ,Lee
Feature-request,codebasics.md,multiline search,40523,[Feature Request] Improve search usability by merging the global and local search widgets?,Lee
Feature-request,codebasics.md,Column selection,41728,Right clicking column selection cancels selection,Park
Feature-request,codebasics.md,Multiple cursor,55780,Cursor color to distinguish between solitary cursors and groups of cursors,Lee
Feature-request,codebasics.md,Multiple cursor,57113,Ctrl+click to select code,Cho
Bug,codebasics.md,Matching Occurrences,59961,"""Select all occurrences of find match"" selects all in file even when ""find in selection"" is enabled?",Lee
Feature-request,codebasics.md,multiline search,64466,Arrow navigating search history + multiline search input,Lee
Feature-request,codebasics.md,multiline search,65334,Support multiline search for file local search,Lee
Bug,codebasics.md,Matching Occurrences,65347,"Option so ""match whole word"" becomes effectively ""match whole name"" (exact match)",Lee
Feature-request,codebasics.md,audo-indent,67678,Auto-indent on closing brace,Lee
Feature-request,codebasics.md,Matching Occurrences,67841,Show number of matching occurrences,Lee
Bug,codebasics.md,editor/codebasics,86026,Firefox: custom dropdown renders not needed inner focus box,Eun
Feature-request,codebasics.md,editor/codebasics,87944,Diff editor: Differentiate unimportant differences,Park
Feature-request,codebasics.md,editor/codebasics,88844,Disable editor.acceptSuggestionOnCommitCharacter by default,Park
Feature-request,codebasics.md,editor/codebasics,88885,Readonly ranges/lines in the editors,Park
Feature-request,codebasics.md,editor/codebasics,89044,Highlighting text should also highlight its counterpart in Watch dropdown,Park
Feature-request,accessibility.md,Folder Collapse,9456,Explorer: allow to expand a sub-tree fully via Alt-click,Lee
Feature-request,accessibility.md,Folder Collapse,18109,Add expand all / collapse all support for file explorer folders.,Lee
Bug,accessibility.md,Screen readers,52007,[Accessibility]A11y_VSCode_ViewProblems_ScreenReader: NVDA does not read the selected text when we switch to Editor.,Park
Bug,accessibility.md,Screen readers,52176,[Accessibility]A11y_VSCode_ConfigureDefaultBuildTask_ScreenReader:Jaws is not reading the placeholder text.,Park
Bug,accessibility.md,Screen readers,52190,"[Accessibility]A11y_VSCode_ViewOutput_ScreenReader: Jaws does not announce ""cannot edit in read only editor""  when we type something in editor.",Park
Bug,accessibility.md,Screen readers,52195,"[Accessibility]A11y_VSCode_ViewOutput_ScreenReader: Jaws does not read the ""role"" of the combobox and instruction to open it.",Park
Bug,accessibility.md,Screen readers,52270,[Accessibility]A11y_VSCode_ViewIntegratedTerminal_ScreenReader: Jaws does not read the information that displays in the editor.,Park
Feature-request,accessibility.md,Screen readers,52429,Line numbers not read out while reading the code in the editor,Park
Feature-request,accessibility.md,Screen readers,65219,"populate the ""go to line"" dialog with the current line number",Park
Feature-request,accessibility.md,Folder Collapse,68943,Alt+Click on Explorer file panel header should collapse all folders,Lee
Bug,accessibility.md,Editor/Accessibility,71952,Accessibility of settings is poor,Eun
Bug,accessibility.md,Editor/Accessibility,79339,Accessibility: tabbing in an opened combobox sends the cursor to the first item in the document instead of next,Eun
Feature-request,accessibility.md,Editor/Accessibility,88695,Using the file compare tool with screen readers needs some attention,Park
Bug,accessibility.md,Editor/Accessibility,89570,Screen reader does not read documentation link,Eun
Bug,accessibility.md,,4176,Column selection does not cover folded text,Yang
Bug,accessibility.md,,4905,Column-Select is biased to the right - this is inconsistent with traditional shift-select behaviour,Yang
Bug,accessibility.md,,91602,Accessibility: View title bar is not accessible with Orca,Yang
Bug,accessibility.md,,91603,Accessibility: Enter on Extension Item doesn't focus the Extension Editor ,Yang
